Level1,Level2,Level3,Value
フルーティー,ベリー系,ブラックベリー,1
フルーティー,ベリー系,ラズベリー,1
フルーティー,ベリー系,ブルーベリー,1
フルーティー,ベリー系,ストロベリー,1
フルーティー,ドライフルーツ,レーズン,1
フルーティー,ドライフルーツ,プルーン,1
フルーティー,ドライフルーツ,イチジク,1
フルーティー,ドライフルーツ,デーツ,1
フルーティー,その他フルーツ,ココナッツ,1
フルーティー,その他フルーツ,チェリー,1
フルーティー,その他フルーツ,ザクロ,1
フルーティー,その他フルーツ,パイナップル,1
フルーティー,その他フルーツ,グレープ,1
フルーティー,その他フルーツ,アップル,1
フルーティー,その他フルーツ,ピーチ,1
フルーティー,その他フルーツ,梨,1
フルーティー,柑橘類,グレープフルーツ,1
フルーティー,柑橘類,オレンジ,1
フルーティー,柑橘類,レモン,1
フルーティー,柑橘類,ライム,1
酸味・発酵,酸味,酸味のアロマ,1
酸味・発酵,酸味,酢酸,1
酸味・発酵,酸味,酪酸,1
酸味・発酵,酸味,イソバレリック酸,1
酸味・発酵,酸味,クエン酸,1
酸味・発酵,酸味,リンゴ酸,1
酸味・発酵,アルコール発酵,ワインのような,1
酸味・発酵,アルコール発酵,ウィスキー,1
酸味・発酵,アルコール発酵,発酵,1
酸味・発酵,アルコール発酵,過熟,1
植物的・青臭い,オリーブオイル,オリーブオイル,1
植物的・青臭い,生野菜,植物的,1
植物的・青臭い,生野菜,濃い緑,1
植物的・青臭い,生野菜,野菜的,1
植物的・青臭い,生野菜,干し草のような,1
植物的・青臭い,生野菜,ハーブのような,1
植物的・青臭い,豆的,豆っぽい,1
植物的・青臭い,未熟,未熟,1
その他,カビ臭い・古い,古い,1
その他,カビ臭い・古い,段ボール,1
その他,カビ臭い・古い,紙っぽい,1
その他,カビ臭い・古い,木質的,1
その他,カビ臭い・古い,カビ臭い,1
その他,カビ臭い・古い,ほこりっぽい,1
その他,カビ臭い・古い,土っぽい,1
その他,カビ臭い・古い,動物的,1
その他,化学的,苦い,1
その他,化学的,塩辛い,1
その他,化学的,薬品的,1
その他,化学的,石油的,1
その他,化学的,スカンクのような,1
その他,化学的,ゴム,1
ローストした,穀物,穀物,1
ローストした,穀物,麦芽,1
ローストした,焦げた,焦げ臭い,1
ローストした,焦げた,灰のような,1
ローストした,焦げた,スモーキー,1
ローストした,焦げた,茶色のロースト,1
ローストした,タバコ,タバコ,1
ローストした,パイプタバコ,パイプタバコ,1
スパイス,刺激的,刺激的,1
スパイス,胡椒,胡椒,1
スパイス,茶色いスパイス,クローブ,1
スパイス,茶色いスパイス,シナモン,1
スパイス,茶色いスパイス,ナツメグ,1
スパイス,茶色いスパイス,アニス,1
ナッツ・ココア,ナッツ,ピーナッツ,1
ナッツ・ココア,ナッツ,ヘーゼルナッツ,1
ナッツ・ココア,ナッツ,アーモンド,1
ナッツ・ココア,ココア,ココア,1
ナッツ・ココア,ココア,チョコレート,1
ナッツ・ココア,ココア,ダークチョコレート,1
甘み,ブラウンシュガー,糖蜜,1
甘み,ブラウンシュガー,メープルシロップ,1
甘み,ブラウンシュガー,カラメル化した,1
甘み,ブラウンシュガー,ハチミツ,1
甘み,バニラ,バニラ,1
甘み,バニリン,バニリン,1
甘み,全体的な甘み,甘いアロマ,1
花の香り,花の香り,カモミール,1
花の香り,花の香り,ローズ,1
花の香り,花の香り,ジャスミン,1
花の香り,紅茶,紅茶,1